CreditScore,Age,Balance,EstimatedSalary,Tenure,NumOfProducts,Exited
432,62.0,172424.08,63952.81,3,2.0,0
486,90.0,96553.08,164287.03,3,3.0,0
730,29.0,31712.15,23146.09,8,2.0,0
668,54.499,196191.38,132410.27,10,3.0,0
647,60.0,56787.15,111329.54,10,3.0,0
364,35.0,19562.42,118577.7,1,4.0,0
690,78.0,2923.8,111422.33,7,4.0,0
761,83.0,147313.49,99741.45,5,1.0,0
553,85.0,84348.37,194307.64,1,3.0,0
415,64.0,60689.03,188827.27,4,2.0,0
378,65.0,93322.66,82254.52,1,3.0,0
716,89.0,7913.03,107166.85,2,3.0,0
365,88.0,154956.65,148740.75,9,3.0,0
698,47.0,3309.13,69652.7,7,2.4913684210526315,0
525,50.0,103149.02,27983.54,9,3.0,0
475,60.0,42739.62,199026.42,3,3.0,0
545,60.0,142365.6,40370.51,2,2.0,1
560,54.499,144837.7,82309.23,9,2.0,0
696,69.0,134154.04,108532.03,7,4.0,0
498,71.0,21043.3,31197.47,2,3.0,0
527,19.0,116306.25,112909.59,10,2.0,0
742,70.0,231338.02,139355.75,5,3.0,0
647,50.0,91818.06,52748.79,0,2.4913684210526315,0
757,23.0,32528.3,60219.12,1,1.0,0
390,50.0,173951.91,126215.86,3,2.0,1
497,72.0,52645.38,134674.02,1,3.0,0
631,80.0,4798.77,143790.02,2,3.0,0
426,54.499,77961.17,126194.77,6,4.0,0
486,18.0,149055.77,119478.09,9,2.0,1
616,59.0,201479.35,179510.53,3,3.0,1
356,55.0,65885.46,158593.56,6,2.0,0
424,33.0,3976.42,179622.43,9,1.0,0
677,42.0,206166.48,195038.6,9,4.0,0
395,76.0,231717.43,180450.92,7,3.0,0
436,49.0,209557.23,181450.75,9,2.0,0
413,62.0,118589.62,168115.7,5,1.0,0
743,18.0,195326.45,82141.93,4,2.0,0
577,83.0,70596.26,49763.32,10,2.0,0
536,54.0,47714.52,182058.31,2,1.0,0
811,74.0,222829.47,23511.95,10,3.0,0
801,84.0,206589.73,154488.42,3,3.0,0
511,54.499,113727.0,125827.83,4,1.0,0
799,31.0,21087.74,50563.51,10,4.0,0
423,91.0,234864.46,192452.9,4,2.0,0
593,59.0,131068.96,147134.27,7,3.0,0
762,26.0,60959.93,63635.17,2,3.0,0
387,58.0,48599.03,64099.88,0,3.0,0
521,72.0,235322.83,141259.39,5,4.0,0
512,19.0,224735.23,88736.4,10,1.0,0
718,31.0,188311.0,138542.3,7,2.0,0
353,68.0,237920.09,79525.39,9,1.0,0
409,33.0,157632.87,35675.51,5,1.0,0
401,84.0,109486.7,150276.7,3,2.0,0
409,78.0,28645.44,72891.62,4,4.0,0
479,21.0,14462.35,176163.48,5,2.0,0
812,26.0,60088.56,56445.74,3,3.0,0
764,50.0,224668.48,23539.59,10,2.4913684210526315,0
637,70.0,230724.42,169808.45,2,3.0,0
743,90.0,32653.16,99006.91,3,2.0,0
605,20.0,116692.19,37478.52,5,3.0,0
740,38.0,177201.99,51047.94,0,2.0,0
840,26.0,248667.59,98874.1,8,3.0,0
541,78.0,72253.31,111404.01,1,1.0,0
571,83.0,99305.02,76254.58,7,1.0,0
421,36.0,17130.2,135742.13,9,2.0,0
629,91.0,42953.81,64585.25,4,3.0,0
433,37.0,211596.17,195642.68,2,1.0,0
328,41.0,159879.97,35471.33,2,2.0,0
622,34.0,172537.52,62056.14,6,4.0,0
597,69.0,226357.83,199532.29,0,1.0,0
741,57.0,77563.09,57589.26,3,1.0,0
770,54.499,31944.6,139254.42,1,2.4913684210526315,0
459,85.0,221700.88,120003.33,4,1.0,0
652,60.0,212839.81,10708.19,9,4.0,0
460,32.0,240969.98,84873.95,2,2.0,0
623,74.0,55786.31,134772.91,6,2.0,0
830,35.0,114063.61,35315.76,3,4.0,0
437,54.499,82626.81,119072.61,5,1.0,0
708,19.0,9500.34,187588.23,1,2.0,0
422,81.0,73649.13,183071.56,9,4.0,0
636,20.0,191859.83,62481.73,4,3.0,0
591,52.0,61159.51,198737.01,1,1.0,0
359,66.0,102600.64,169072.19,9,2.0,0
562,34.0,164969.34,17896.31,10,1.0,0
524,72.0,137331.42,163671.0,7,3.0,0
613,69.0,151428.25,149693.33,4,3.0,0
753,62.0,128067.87,146609.09,3,3.0,0
634,69.0,65215.38,128082.97,1,4.0,0
387,81.0,140310.7,100861.76,8,2.0,0
824,22.0,95487.92,139535.9,1,4.0,0
555,86.0,31674.74,90060.68,4,2.0,0
417,88.0,32499.15,86185.09,0,2.0,0
389,81.0,216570.03,146660.16,0,2.0,0
378,22.0,87562.32,150914.9,2,1.0,0
748,60.0,14708.04,166093.09,3,2.0,0
679,63.0,118969.12,191243.52,5,1.0,0
578,87.0,156490.97,31273.05,1,4.0,0
506,90.0,196311.01,102220.77,8,3.0,0
480,63.0,55600.23,135698.3,1,1.0,0
343,56.0,65686.81,57012.76,7,1.0,0
341,60.0,145366.57,89200.44,6,1.0,0
472,22.0,25041.67,168056.48,8,4.0,0
626,18.0,107661.33,27987.37,7,4.0,0
806,76.0,34005.68,153286.63,3,4.0,0
680,61.0,550.99,19699.7,7,3.0,0
334,61.0,99890.32,14455.15,1,2.0,1
811,39.0,77210.17,38752.57,0,1.0,0
735,60.0,132870.37,156139.91,7,3.0,0
683,52.0,88367.4,167600.46,9,4.0,0
668,54.0,67010.9,165373.29,1,3.0,0
762,61.0,65144.55,73905.7,1,1.0,0
514,54.0,150888.17,60077.01,6,2.0,0
333,40.0,207120.1,27241.17,3,2.0,0
370,65.0,174615.26,111343.81,8,1.0,0
333,75.0,147309.0,70991.71,6,2.0,0
475,57.0,192887.85,141638.37,10,1.0,0
324,89.0,143628.1,83731.52,1,3.0,0
704,40.0,152398.94,191432.13,9,4.0,0
478,46.0,160437.92,175919.17,8,4.0,0
632,76.0,96057.88,121211.73,9,2.4913684210526315,0
641,24.0,11977.99,141862.06,10,4.0,0
431,54.499,139161.12,111148.94,8,2.0,1
522,38.0,7030.87,106057.48,8,1.0,0
467,74.0,207850.57,36956.56,4,1.0,0
667,77.0,136584.52,122277.46,3,4.0,0
570,72.0,151861.6,114968.38,8,4.0,0
796,34.0,203960.88,28503.38,3,1.0,0
526,91.0,41452.97,165668.89,5,1.0,0
324,85.0,165569.58,10966.44,9,1.0,0
360,24.0,219517.17,130077.47,5,3.0,0
719,65.0,100730.65,26307.04,2,1.0,0
833,49.0,77363.56,80343.76,4,3.0,0
309,21.0,146879.95,32623.55,3,2.0,0
613,76.0,198254.05,87010.65,9,3.0,0
342,54.499,238508.62,113905.86,4,4.0,0
382,43.0,25232.48,25119.03,6,1.0,0
373,85.0,77504.59,182850.69,6,2.0,0
515,71.0,2930.78,190580.89,1,4.0,0
369,43.0,174504.91,18562.69,9,4.0,0
759,19.0,75374.78,29693.88,8,2.0,0
414,88.0,160301.3,139725.04,5,2.0,0
440,36.0,85849.72,12134.43,3,3.0,0
823,54.499,23693.66,156732.5,9,2.0,0
625,54.499,175861.6,49332.2,5,2.0,0
779,25.0,22912.64,86086.65,0,3.0,0
436,86.0,124765.62,126411.9,1,2.0,0
596,79.0,163132.23,95005.21,0,4.0,0
497,83.0,205098.77,96974.79,6,1.0,0
606,84.0,69340.31,155449.47,10,3.0,0
391,71.0,139243.67,111481.19,0,1.0,0
530,49.0,12350.89,194882.36,2,1.0,0
664,64.0,78568.2,105979.73,10,4.0,0
784,86.0,191814.96,142420.43,10,4.0,0
590,46.0,67933.6,100363.94,5,4.0,0
589,23.0,27696.03,24150.3,7,4.0,0
442,57.0,140663.23,192910.13,9,2.0,0
562,41.0,127804.98,24364.01,9,4.0,0
461,81.0,221187.39,118973.84,6,2.0,0
687,88.0,12195.45,40764.9,6,4.0,0
488,52.0,108479.69,188808.04,7,1.0,0
506,70.0,244221.4,31563.48,8,1.0,0
315,73.0,91611.98,102184.93,5,2.0,0
721,56.0,50720.28,19802.4,8,2.0,0
481,81.0,142035.15,173962.65,6,4.0,1
536,85.0,116923.61,48931.11,7,2.4913684210526315,0
522,75.0,140381.52,96507.9,5,1.0,0
378,91.0,163325.08,119911.8,6,4.0,0
797,81.0,103489.77,31312.85,10,1.0,0
347,84.0,180319.2,163627.16,6,4.0,0
819,49.0,178597.51,74966.25,5,3.0,1
307,75.0,138648.64,109617.15,1,1.0,0
742,54.499,84337.62,143147.67,9,2.4913684210526315,0
662,28.0,226272.12,101686.49,4,2.0,0
737,83.0,185752.65,95760.33,0,3.0,0
300,41.0,190766.82,60571.5,2,2.0,0
566,44.0,204574.83,181633.9,7,2.0,0
580,76.0,210300.26,171193.41,0,1.0,0
828,55.0,24368.3,14866.04,9,4.0,0
667,41.0,172155.71,164038.26,6,2.0,0
366,34.0,201586.74,179656.92,2,3.0,0
827,39.0,120735.23,41326.81,6,1.0,0
845,41.0,55068.14,178695.72,10,1.0,0
733,21.0,185618.64,124795.77,8,1.0,0
659,71.0,158394.53,36225.73,6,4.0,0
748,72.0,138174.5,180658.44,9,2.0,0
525,75.0,96502.93,39438.88,5,4.0,0
472,54.499,122918.69,146285.82,10,4.0,0
845,43.0,132865.93,170560.71,10,4.0,0
816,83.0,123912.24,129242.81,0,3.0,0
524,84.0,140929.06,47451.15,9,2.0,0
554,52.0,155331.86,140036.47,10,4.0,0
529,62.0,142806.75,45609.94,9,2.0,0
518,54.0,4047.87,117464.25,1,1.0,0
609,75.0,234931.61,40812.64,1,2.0,0
581,77.0,137387.46,95261.44,6,4.0,0
839,59.0,211508.49,48577.64,6,1.0,0
432,46.0,164081.04,20081.62,2,3.0,1
569,48.0,146375.92,130343.08,10,1.0,0
439,19.0,150062.96,60038.25,6,2.0,0
444,23.0,184430.57,195786.53,0,1.0,0
442,54.499,9343.1,18826.58,0,3.0,0
807,37.0,99040.01,71192.0,9,4.0,1
455,54.499,16791.54,81093.07,9,2.0,0
758,26.0,191633.87,179052.2,5,2.0,0
778,68.0,146688.36,171729.62,3,1.0,0
441,54.499,55264.62,74119.87,7,1.0,0
624,44.0,209607.74,90537.74,10,1.0,0
738,62.0,115972.42,79331.13,5,4.0,0
820,51.0,175097.73,143448.56,8,3.0,0
648,64.0,178671.84,162304.43,10,1.0,1
365,75.0,71531.92,197920.06,9,2.0,0
754,79.0,68855.41,147089.38,7,4.0,0
699,81.0,137233.45,43502.8,6,1.0,0
349,73.0,46417.87,86874.12,4,4.0,0
501,82.0,166465.88,194440.56,8,2.0,0
358,54.0,181256.36,68338.62,1,4.0,0
382,54.499,35008.75,70106.58,7,3.0,0
359,89.0,186214.88,60864.37,2,4.0,0
568,44.0,205213.93,26554.07,3,4.0,0
458,79.0,176737.95,21062.41,6,1.0,0
461,24.0,44151.35,14767.1,10,2.0,0
768,55.0,100425.97,184217.42,0,2.0,0
694,81.0,192132.01,36145.76,3,1.0,0
558,54.499,178409.62,171516.5,3,4.0,0
511,54.499,72761.94,110549.58,1,3.0,0
339,45.0,136274.51,65837.57,7,4.0,0
412,31.0,157703.04,91644.91,7,3.0,0
634,56.0,120032.37,42738.66,3,3.0,0
361,87.0,117375.79,186242.59,2,3.0,0
503,60.0,7568.13,181376.89,4,1.0,0
318,54.0,67693.69,113320.43,4,1.0,0
639,61.0,198107.25,58731.5,6,1.0,0
443,54.499,120685.04,49913.91,6,4.0,0
475,33.0,20680.67,95276.02,2,3.0,0
787,27.0,142429.35,167406.5,10,1.0,0
582,71.0,226906.47,56900.59,6,3.0,0
367,84.0,201371.94,155942.37,3,4.0,0
338,75.0,124799.62,28049.87,3,4.0,0
520,91.0,1147.39,165042.13,7,4.0,0
561,74.0,14379.92,132714.07,8,2.0,0
374,23.0,204761.39,191832.81,4,4.0,0
645,18.0,211922.49,122101.63,6,2.0,0
490,54.499,169638.21,57719.56,0,1.0,0
813,54.499,115603.39,108780.66,2,1.0,0
803,27.0,55354.46,34984.25,2,4.0,0
697,24.0,94147.36,168336.08,0,1.0,0
564,80.0,234858.98,188527.48,3,3.0,0
675,63.0,25892.25,145019.48,3,1.0,0
522,55.0,236575.77,44606.99,9,3.0,0
369,18.0,41782.23,166400.75,5,3.0,1
469,48.0,244139.2,114700.54,7,2.0,0
746,91.0,171563.81,132274.05,7,4.0,0
738,43.0,51883.82,73281.35,0,3.0,0
773,85.0,71616.63,113842.95,10,3.0,0
728,85.0,196950.2,165533.46,10,3.0,0
593,67.0,199140.03,148320.82,8,1.0,0
757,60.0,107381.57,98001.72,10,1.0,0
478,40.0,61688.54,68464.81,5,3.0,0
473,31.0,108926.52,173535.19,8,3.0,0
811,54.499,28969.15,94060.3,4,1.0,0
722,88.0,79932.8,60299.03,9,2.0,0
430,28.0,221883.89,45321.42,3,3.0,0
372,54.499,93411.29,26750.73,9,4.0,0
510,73.0,238337.68,181826.89,9,1.0,0
334,47.0,149320.06,81734.15,1,2.0,0
516,54.499,2092.79,16038.55,10,2.0,0
451,70.0,143036.09,77355.83,6,2.0,0
373,42.0,236529.72,162103.3,1,3.0,0
385,54.499,198246.3,167716.78,10,3.0,0
387,34.0,42498.44,167746.97,9,4.0,0
335,35.0,60778.76,107463.34,10,1.0,0
598,24.0,222169.03,62350.19,3,3.0,0
474,33.0,103367.34,65472.81,10,1.0,0
564,32.0,42574.95,128748.9,3,1.0,0
504,41.0,54411.0,58084.94,5,3.0,0
731,28.0,2526.45,127331.86,3,2.4913684210526315,0
368,60.0,222020.99,30812.29,10,3.0,0
715,54.499,172346.74,107490.71,6,1.0,0
706,54.499,132780.55,63077.57,2,1.0,0
789,36.0,231647.58,192981.22,6,1.0,0
540,54.499,32639.99,16013.45,6,1.0,0
444,77.0,225975.36,175638.51,7,1.0,0
797,82.0,50866.5,114371.9,1,4.0,0
430,54.499,49004.88,194706.75,10,2.0,0
572,28.0,205013.94,71673.84,6,3.0,0
378,47.0,168269.68,62000.91,3,1.0,0
470,88.0,180088.24,101742.3,4,1.0,1
626,61.0,127367.51,73094.95,5,4.0,0
342,61.0,183733.69,141132.86,0,2.0,0
540,80.0,139575.4,199786.65,4,4.0,1
592,33.0,15240.41,133391.33,3,2.0,0
403,48.0,132517.75,22722.24,5,2.4913684210526315,0
478,77.0,182692.63,129469.5,3,1.0,0
623,43.0,219053.28,29530.1,9,3.0,0
404,54.499,174847.81,113998.97,7,1.0,0
416,75.0,48965.89,25111.96,4,3.0,0
835,21.0,128888.16,154079.64,8,4.0,0
734,46.0,113476.34,166457.79,7,4.0,0
525,54.499,38748.86,61734.67,10,4.0,0
738,43.0,101370.47,193445.89,2,2.0,0
378,91.0,212270.57,114859.27,6,1.0,0
505,60.0,41446.06,127971.7,7,3.0,0
777,54.499,15631.23,124567.36,7,2.0,0
779,67.0,193440.45,162099.03,2,2.0,0
709,41.0,1481.81,30201.23,8,1.0,0
653,43.0,216718.58,190327.14,3,2.0,0
819,79.0,208916.95,75609.28,6,2.0,0
435,22.0,153607.03,140030.66,1,2.0,0
453,91.0,201773.2,50562.15,1,2.0,0
414,60.0,59426.07,115774.95,2,3.0,0
367,55.0,51229.78,130580.24,9,2.0,0
784,79.0,158787.81,117466.4,6,3.0,0
491,21.0,1212.25,62794.61,1,2.0,0
394,88.0,164902.0,57386.36,4,2.0,0
680,63.0,77930.09,16010.73,2,4.0,0
776,87.0,81026.7,186251.38,0,4.0,0
375,68.0,139292.13,14426.77,8,1.0,0
676,73.0,54003.03,69835.09,7,1.0,0
396,86.0,127437.34,199643.66,3,2.0,0
342,91.0,249223.36,198770.18,7,3.0,0
638,77.0,99335.24,180295.27,1,4.0,0
782,71.0,248947.19,28999.1,0,1.0,0
795,39.0,45669.63,23176.51,10,4.0,0
808,86.0,200013.18,199899.73,9,1.0,0
311,76.0,210592.31,73769.27,5,1.0,0
601,68.0,114579.24,63505.56,1,1.0,0
805,40.0,215499.87,174133.77,5,2.0,0
734,62.0,61843.54,178749.46,9,3.0,0
825,75.0,222171.58,51764.83,1,2.0,0
612,91.0,75768.8,184786.23,5,3.0,0
448,88.0,185960.28,68421.24,9,1.0,0
809,33.0,48915.79,85092.91,5,3.0,0
828,70.0,162614.78,23753.64,3,1.0,0
637,46.0,13461.98,112553.27,6,2.4913684210526315,0
556,29.0,216308.87,172784.15,8,2.0,0
605,54.499,1379.39,38054.55,7,4.0,1
818,63.0,101363.24,81005.02,8,2.0,0
380,69.0,115697.3,168162.95,4,1.0,0
604,90.0,113918.78,76797.34,3,1.0,0
508,54.499,46472.86,107506.99,5,3.0,0
632,54.499,138549.8,107735.74,6,1.0,0
763,23.0,59847.26,117067.74,9,3.0,0
511,84.0,135861.41,158808.29,10,3.0,0
672,73.0,82021.25,184068.14,5,2.0,0
578,37.0,197906.13,158409.19,1,3.0,0
667,56.0,195525.75,130805.64,3,4.0,0
768,54.499,114465.02,79689.14,8,1.0,0
736,75.0,100300.06,118877.38,7,4.0,0
410,21.0,147466.89,44807.81,6,4.0,0
808,76.0,71781.46,113113.43,10,4.0,0
832,75.0,213940.67,30994.12,4,3.0,1
832,20.0,218333.06,168531.27,1,4.0,0
688,31.0,114531.93,164769.5,2,4.0,0
821,21.0,102008.66,42215.58,7,2.4913684210526315,0
635,35.0,41068.86,10730.7,6,2.0,0
600,66.0,150974.48,155753.92,0,3.0,0
484,54.499,53492.75,159452.04,1,2.0,0
528,34.0,34534.86,153479.43,2,2.0,0
750,26.0,202617.83,58111.43,10,4.0,0
575,36.0,46204.54,76968.02,4,4.0,0
531,45.0,61581.01,105376.93,6,4.0,0
374,43.0,133583.81,71629.35,4,4.0,0
798,22.0,20314.1,67403.55,1,3.0,0
527,20.0,133032.92,102052.42,3,2.0,0
717,88.0,75125.32,85358.57,2,3.0,0
625,72.0,125382.44,131260.24,4,4.0,0
714,58.0,214047.3,149831.23,7,4.0,0
358,38.0,17884.85,169239.99,5,1.0,0
541,47.0,26480.61,150640.15,10,2.0,0
352,44.0,127517.63,160424.46,8,4.0,0
349,56.0,4956.42,189039.49,1,1.0,0
392,42.0,75486.86,89494.98,6,1.0,0
631,76.0,125545.36,124835.4,8,2.0,0
307,54.0,14605.98,162489.76,8,4.0,0
545,33.0,62649.2,61012.07,5,2.4913684210526315,0
315,27.0,115481.1,126038.9,6,4.0,0
349,54.499,169761.61,104909.64,3,4.0,0
350,56.0,169091.9,115800.85,6,1.0,0
388,39.0,223060.34,20881.22,4,1.0,0
515,78.0,36539.1,131921.99,9,1.0,0
799,60.0,30293.11,46025.22,8,4.0,0
725,63.0,127639.99,183842.81,10,3.0,0
730,57.0,18630.74,154541.23,8,3.0,0
842,21.0,57361.57,70259.74,1,1.0,0
429,91.0,133105.24,20332.06,2,2.4913684210526315,0
454,67.0,109527.05,100754.32,7,4.0,0
422,58.0,139676.85,95276.84,1,4.0,0
765,54.499,3904.36,158580.34,4,4.0,0
617,58.0,135362.7,10801.19,8,2.4913684210526315,0
786,26.0,242820.85,107265.75,1,1.0,0
319,74.0,161506.38,129976.55,7,1.0,0
692,87.0,108821.76,151151.3,0,3.0,0
304,39.0,120872.18,108931.7,2,4.0,0
823,53.0,27333.37,71293.33,2,4.0,0
325,33.0,192661.8,82403.54,9,4.0,0
431,82.0,14463.84,195855.71,1,3.0,0
428,25.0,66370.42,171121.83,4,4.0,0
762,22.0,6366.59,176197.7,7,3.0,0
365,70.0,70752.22,114959.87,1,2.0,0
506,40.0,91660.02,174139.7,9,2.0,0
794,84.0,68596.44,170481.68,2,3.0,0
809,49.0,139241.3,24370.38,4,3.0,0
832,53.0,84855.19,153995.37,1,3.0,0
430,58.0,120113.97,26938.76,10,2.0,0
477,78.0,180548.42,101134.54,0,2.0,0
717,83.0,233821.82,187277.33,3,1.0,0
513,54.499,65286.33,35152.4,2,2.4913684210526315,0
424,54.499,70574.46,178522.96,0,3.0,0
662,54.499,212887.69,186683.45,4,2.0,0
720,41.0,163832.4,109023.97,3,3.0,0
576,79.0,79415.12,99476.52,7,4.0,0
459,56.0,98506.73,91542.37,5,1.0,0
527,76.0,158517.45,44014.09,8,1.0,0
327,70.0,60576.9,46262.46,9,2.0,0
427,66.0,76082.68,138227.8,6,3.0,0
