CustomerID,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
CUST00068,637,Spain,Female,86.0,6,227326.48,4.0,1,1,104954.64,0
CUST00069,352,France,Female,80.0,7,157198.58,3.0,0,1,170602.2,0
CUST00070,516,Spain,Female,87.0,8,172085.78,1.0,0,0,101727.54,0
CUST00071,487,France,Female,82.0,0,138591.2,1.0,1,0,16063.27,0
CUST00072,679,France,Male,,2,18244.3,4.0,0,0,36867.16,0
CUST00073,792,Spain,Male,71.0,1,44917.64,4.0,0,0,146450.74,0
CUST00074,340,Germany,Female,53.0,2,68457.12,1.0,1,0,95853.73,0
CUST00075,456,Germany,Male,88.0,10,189964.03,4.0,0,0,97631.31,0
CUST00076,314,Germany,Female,32.0,10,108857.31,4.0,0,0,195821.29,0
CUST00077,364,France,Female,35.0,1,19562.42,4.0,1,0,118577.7,0
CUST00078,820,France,Male,21.0,10,213161.27,1.0,0,0,32214.87,0
CUST00079,643,Germany,Male,28.0,5,248456.68,2.0,1,0,92413.33,1
CUST00080,428,France,Female,23.0,8,113756.57,3.0,1,1,116651.81,0
CUST00081,771,France,Female,68.0,1,127941.0,2.0,1,0,17118.47,0
CUST00082,362,Germany,Female,75.0,3,19627.36,1.0,0,1,79275.87,0
CUST00083,438,Spain,Female,77.0,4,95754.36,3.0,1,1,193885.45,0
CUST00084,798,France,Male,35.0,4,92951.09,1.0,1,1,152747.61,0
CUST00085,691,France,Female,84.0,0,241447.88,2.0,0,1,80708.99,0
CUST00086,718,France,Male,34.0,5,165107.88,1.0,0,1,59801.24,0
CUST00087,588,France,Female,,4,195545.79,4.0,0,1,63798.96,0
CUST00088,678,Spain,Female,47.0,5,32083.01,4.0,1,1,167398.76,0
CUST00089,789,Germany,Male,36.0,3,104231.72,2.0,0,0,86309.13,0
CUST00090,530,France,Male,26.0,10,47888.2,4.0,0,0,170203.22,0
CUST00091,340,Germany,Male,57.0,5,215047.24,2.0,1,1,182661.29,0
CUST00092,327,France,Male,61.0,8,38093.09,1.0,1,1,98197.84,0
CUST00093,434,Spain,Male,76.0,0,109717.8,1.0,1,1,189601.76,0
CUST00094,500,Germany,Female,42.0,5,13412.57,2.0,0,1,66990.76,0
CUST00095,332,Spain,Female,88.0,0,158573.57,3.0,1,1,59403.91,0
CUST00096,347,France,Female,70.0,6,120481.19,2.0,0,0,30387.38,0
CUST00097,802,Spain,Male,,3,124491.69,,1,1,56702.77,0
CUST00098,706,Spain,Male,88.0,5,25404.73,2.0,0,1,156804.2,0
CUST00099,398,France,Male,70.0,6,128495.3,1.0,1,0,86719.65,0
CUST00100,846,France,Female,66.0,10,140945.87,4.0,1,1,38150.95,0
CUST00101,761,Germany,Male,60.0,4,240710.02,2.0,0,1,30335.99,0
CUST00102,304,France,Female,36.0,8,8305.67,3.0,1,1,103145.92,1
CUST00103,517,Germany,Female,83.0,7,230678.4,4.0,1,0,112477.34,0
CUST00104,802,Spain,Female,51.0,2,119891.11,3.0,1,1,160965.45,1
CUST00105,697,Spain,Male,90.0,0,52528.63,3.0,1,0,145813.54,0
CUST00106,692,Germany,Female,71.0,10,166386.52,3.0,1,0,41751.84,0
CUST00107,506,France,Female,18.0,9,129263.05,3.0,0,0,62608.56,0
CUST00108,314,France,Female,72.0,7,56688.75,2.0,1,1,141815.2,0
CUST00109,760,Spain,Male,32.0,3,156706.71,4.0,1,1,44308.83,0
CUST00110,540,Germany,Female,32.0,6,118315.57,4.0,1,1,162612.62,1
CUST00111,395,Spain,Male,,3,172253.65,4.0,1,1,134897.95,0
CUST00112,784,Spain,Male,,6,172269.23,4.0,0,0,111905.04,0
CUST00113,706,France,Female,63.0,0,118203.83,1.0,0,0,132408.58,0
CUST00114,530,Germany,Female,26.0,0,97699.05,1.0,0,1,28945.97,0
CUST00115,470,Spain,Male,83.0,1,15811.06,2.0,0,1,114124.19,0
CUST00116,840,France,Female,83.0,4,123461.65,4.0,0,1,95746.95,0
CUST00117,335,Spain,Male,35.0,10,60778.76,1.0,0,0,107463.34,0
CUST00118,824,Spain,Male,34.0,9,13311.87,4.0,1,1,74156.72,0
CUST00119,459,France,Male,89.0,5,82595.06,2.0,1,0,98953.62,0
CUST00120,542,France,Female,,1,21867.25,3.0,1,1,177817.45,0
CUST00121,385,Germany,Male,86.0,0,144935.46,2.0,1,1,75522.19,0
CUST00122,327,Spain,Male,81.0,8,125917.27,1.0,0,0,18537.77,0
CUST00123,639,Germany,Female,61.0,6,198107.25,1.0,0,0,58731.5,0
CUST00124,630,France,Female,,7,66908.39,1.0,0,0,96329.08,0
CUST00125,805,France,Male,79.0,5,92882.27,2.0,0,0,111363.21,0
CUST00126,647,Spain,Male,33.0,8,172237.6,2.0,0,0,91158.13,0
CUST00127,772,Germany,Male,69.0,7,248236.13,2.0,0,1,167056.31,0
CUST00128,530,Germany,Female,19.0,3,226042.44,4.0,0,1,183882.85,0
CUST00129,489,Spain,Male,78.0,4,130206.22,,1,0,102492.14,0
CUST00130,524,Spain,Male,21.0,1,169486.82,2.0,0,1,24417.16,0
CUST00131,684,Germany,Female,69.0,0,132980.58,2.0,0,0,89987.59,0
CUST00132,676,France,Female,58.0,5,108701.38,4.0,1,0,44435.4,0
CUST00133,582,France,Male,69.0,2,150574.42,1.0,0,1,63864.32,0
CUST00134,558,Spain,Female,48.0,10,96624.81,3.0,1,1,168250.88,0
CUST00135,658,Germany,Male,43.0,3,70047.09,3.0,0,0,111705.46,0
CUST00136,755,Germany,Male,,0,176418.48,1.0,1,0,167432.43,0
CUST00137,710,Germany,Female,68.0,5,217993.35,4.0,1,1,197269.01,0
CUST00138,617,France,Male,65.0,7,72006.08,1.0,0,1,113593.46,0
CUST00139,524,France,Male,28.0,9,176722.9,3.0,1,1,183329.83,0
CUST00140,533,Germany,Female,25.0,3,108504.75,2.0,1,0,139858.53,0
CUST00141,673,Germany,Male,29.0,9,75521.26,1.0,1,0,29345.51,0
CUST00142,771,Spain,Female,62.0,7,155277.74,3.0,1,0,89400.79,0
CUST00143,532,Spain,Male,51.0,10,234853.62,2.0,0,0,135198.58,0
CUST00144,412,Germany,Female,89.0,9,87922.87,1.0,1,0,143999.71,0
CUST00145,796,Germany,Female,64.0,2,1898698.2999999998,4.0,1,0,173526.54,0
CUST00146,741,France,Female,38.0,10,78674.52,3.0,0,1,131085.35,1
CUST00147,567,Germany,Female,58.0,6,200967.1,2.0,0,1,27117.82,0
CUST00148,809,Spain,Female,39.0,2,189996.18,2.0,1,1,37064.17,0
CUST00149,685,France,Female,38.0,5,191408.19,4.0,1,1,72381.21,0
CUST00150,686,Spain,Male,45.0,3,249427.02,3.0,0,0,65868.31,0
CUST00151,412,Spain,Male,84.0,5,35129.39,2.0,0,1,52105.02,0
CUST00152,380,France,Female,88.0,6,97209.81,4.0,1,0,127286.28,0
CUST00153,412,Spain,Male,31.0,7,157703.04,3.0,0,0,91644.91,0
CUST00154,301,Germany,Female,,5,147618.87,4.0,1,1,140147.87,0
CUST00155,519,Spain,Female,,3,195158.27,4.0,1,1,83524.11,0
CUST00156,524,France,Male,60.0,8,11727.4,4.0,0,0,62075.56,0
CUST00157,684,France,Female,88.0,6,176262.79,4.0,1,1,114589.52,0
CUST00158,702,France,Male,36.0,8,184430.99,3.0,0,0,28384.41,0
CUST00159,429,Spain,Female,44.0,2,15275.28,4.0,0,1,197845.08,0
CUST00160,352,Germany,Female,35.0,4,134670.59,4.0,0,1,134569.69,0
CUST00161,715,France,Male,30.0,0,61248.18,2.0,0,0,33210.85,0
CUST00162,546,Germany,Female,18.0,10,200406.82,3.0,1,1,128257.63,0
CUST00163,738,France,Female,51.0,7,12403.4,3.0,1,0,24142.12,0
CUST00164,502,Germany,Female,30.0,0,36541.04,4.0,1,0,106182.92,0
CUST00165,483,Germany,Male,68.0,0,26113.44,4.0,1,1,65263.98,0
CUST00166,422,Germany,Male,18.0,6,16304.43,1.0,1,0,143144.96,0
CUST00167,700,France,Male,45.0,10,150018.42,4.0,0,1,102543.68,0
CUST00168,593,Spain,Male,49.0,7,217136.73,3.0,1,1,159316.23,1
CUST00169,579,Spain,Male,89.0,2,127743.28,2.0,1,1,53654.04,1
CUST00170,497,Spain,Female,72.0,1,52645.38,3.0,0,1,134674.02,0
CUST00171,810,Germany,Male,43.0,6,85949.07,2.0,0,0,140689.41,0
CUST00172,443,France,Male,31.0,9,90091.56,4.0,0,0,100728.24,0
CUST00173,500,Germany,Female,85.0,4,112908.85,1.0,0,1,173078.08,0
CUST00174,423,France,Female,80.0,0,105134.59,2.0,1,1,37863.04,0
CUST00175,486,Germany,Male,31.0,1,167787.81,3.0,0,0,154098.57,0
CUST00176,625,France,Female,44.0,2,84978.04,4.0,1,0,35077.66,0
CUST00177,763,France,Female,,5,165741.35,2.0,0,1,39811.84,0
CUST00178,648,France,Female,20.0,0,136693.36,1.0,0,1,48282.55,0
CUST00179,702,Germany,Male,76.0,7,12127.21,1.0,0,1,135604.58,0
CUST00180,645,Spain,Female,40.0,1,229918.02,1.0,1,1,131412.38,0
CUST00181,810,Germany,Female,35.0,4,44489.35,4.0,1,0,94718.41,0
CUST00182,446,Germany,Male,91.0,7,112882.21,2.0,1,1,69748.2,0
CUST00183,447,France,Female,58.0,4,236899.3,2.0,0,1,126426.7,0
CUST00184,788,France,Female,25.0,7,61833.3,4.0,1,1,37395.9,1
CUST00185,637,Spain,Male,49.0,5,5541.14,2.0,0,0,129445.21,0
CUST00186,772,Spain,Male,58.0,6,122512.46,4.0,1,1,12270.85,1
CUST00187,450,France,Male,62.0,7,55982.8,1.0,0,0,37449.1,0
CUST00188,714,Spain,Female,26.0,2,145506.88,2.0,1,1,144505.97,0
CUST00189,597,Spain,Male,65.0,4,204277.03,1.0,1,1,176054.31,0
CUST00190,562,France,Male,41.0,9,127804.98,4.0,0,0,24364.01,0
CUST00191,443,Germany,Female,61.0,6,161257.34,1.0,0,1,131365.74,0
CUST00192,645,Spain,Female,75.0,8,166538.1,,1,1,21762.12,0
CUST00193,301,France,Female,83.0,5,205133.62,4.0,1,0,177004.23,0
CUST00194,603,Spain,Female,35.0,9,171981.7,3.0,1,0,84416.34,0
CUST00195,553,Spain,Female,46.0,0,244043.04,4.0,0,0,150823.44,0
CUST00196,752,France,Male,19.0,10,114052.81,1.0,0,0,42822.91,0
CUST00197,336,Spain,Male,85.0,7,12564.59,1.0,1,1,173656.57,0
CUST00198,459,Spain,Male,56.0,5,98506.73,1.0,1,1,91542.37,0
CUST00199,308,Spain,Female,,0,209969.51,3.0,1,0,49682.88,0
CUST00200,532,Germany,Male,58.0,3,33266.91,1.0,0,1,118765.35,0
CUST00201,398,Germany,Female,88.0,5,183984.96,3.0,0,1,64750.66,1
CUST00202,507,Spain,Female,39.0,9,133915.36,3.0,0,1,64539.54,0
CUST00203,430,France,Male,66.0,0,225166.52,2.0,0,1,31763.62,1
CUST00204,703,Spain,Male,45.0,9,182797.42,,0,1,50640.54,0
CUST00205,451,Spain,Female,,4,1651310.3,2.0,0,1,161594.07,0
CUST00206,353,Germany,Female,85.0,2,221719.48,4.0,0,1,109479.93,0
CUST00207,419,Germany,Male,79.0,6,227054.98,3.0,0,0,77438.52,1
CUST00208,719,Germany,Male,53.0,7,96229.18,1.0,1,1,186580.89,0
CUST00209,721,Spain,Female,39.0,2,231961.83,2.0,1,0,161503.64,0
CUST00210,403,Spain,Female,28.0,9,13674.5,4.0,0,1,68951.71,0
CUST00211,553,France,Female,,2,190641.66,3.0,0,1,31039.18,0
CUST00212,526,Spain,Female,72.0,10,84132.74,4.0,0,0,45024.94,0
CUST00213,411,Spain,Male,90.0,2,121849.24,1.0,0,0,138282.04,0
CUST00214,809,Germany,Male,52.0,10,208937.47,2.0,1,0,116982.67,0
CUST00215,772,Germany,Female,74.0,5,159259.68,3.0,1,0,196347.76,0
CUST00216,398,Germany,Female,51.0,5,114372.76,4.0,1,0,12563.86,0
CUST00217,452,Germany,Male,90.0,2,40983.31,2.0,1,0,176590.72,0
CUST00218,637,Germany,Female,,5,234816.2,2.0,1,1,12711.15,0
CUST00219,462,France,Female,21.0,8,83119.37,3.0,0,1,90704.25,0
CUST00220,460,France,Female,63.0,10,25290.38,2.0,0,0,184151.85,0
CUST00221,697,France,Female,,7,141036.69,4.0,0,1,135098.93,1
CUST00222,576,Germany,Female,78.0,10,101569.95,3.0,0,0,120826.94,0
CUST00223,803,Germany,Female,52.0,6,147627.79,3.0,1,0,69564.87,0
CUST00224,691,Germany,Male,86.0,6,58382.49,2.0,1,0,193564.23,0
CUST00225,434,France,Female,74.0,7,94682.22,1.0,1,0,41962.67,0
CUST00226,494,Germany,Male,28.0,6,243127.09,1.0,0,1,61278.63,0
CUST00227,700,France,Male,29.0,2,234134.05,1.0,1,0,96061.59,0
CUST00228,332,Germany,Male,60.0,7,216095.44,4.0,0,1,33996.84,1
CUST00229,759,Spain,Female,36.0,7,194780.22,3.0,1,1,90473.98,0
CUST00230,769,France,Female,,0,39139.94,2.0,1,1,17475.17,0
CUST00231,674,Spain,Female,76.0,9,116732.65,1.0,1,1,185582.57,0
CUST00232,321,France,Male,19.0,4,181975.7,2.0,0,0,71206.44,0
CUST00233,337,Germany,Male,25.0,4,65441.89,1.0,1,0,130422.49,0
CUST00234,529,Germany,Female,39.0,0,8268.55,1.0,0,0,175400.14,0
CUST00235,664,Spain,Female,38.0,5,104524.72,2.0,0,1,165481.98,0
CUST00236,737,Germany,Male,46.0,5,106285.35,4.0,0,0,175944.25,0
CUST00237,582,France,Male,54.0,3,16275.06,,1,0,146858.64,0
CUST00238,326,Germany,Male,46.0,5,80153.89,2.0,1,0,46811.33,0
CUST00239,525,Germany,Female,54.0,5,229325.01,4.0,1,0,79644.22,0
CUST00240,576,France,Male,38.0,0,62574.2,4.0,1,0,107286.03,0
CUST00241,583,Spain,Male,29.0,4,142289.95,2.0,0,1,74020.57,0
CUST00242,780,Spain,Male,65.0,1,121970.5,4.0,1,1,191494.45,0
CUST00243,752,Germany,Female,,6,215531.45,1.0,0,0,163299.02,0
CUST00244,815,France,Female,32.0,8,163387.56,4.0,0,1,161800.82,0
CUST00245,846,Spain,Female,84.0,8,39607.37,2.0,1,1,78610.01,0
CUST00246,491,Spain,Male,,10,35717.18,4.0,0,1,153419.31,0
CUST00247,348,Germany,Male,76.0,8,139371.81,3.0,0,1,126670.0,0
CUST00248,811,France,Male,90.0,10,11616.59,4.0,1,0,81290.74,0
CUST00249,316,Spain,Male,30.0,6,98382.74,1.0,0,1,68573.18,0
CUST00250,471,Germany,Female,89.0,6,99752.77,3.0,1,1,159878.71,0
CUST00251,519,Germany,Male,36.0,0,49083.28,,1,1,123392.0,1
CUST00252,457,Germany,Male,74.0,10,75253.05,1.0,0,1,17029.12,0
CUST00253,776,Germany,Female,49.0,10,82487.06,3.0,1,0,14122.82,0
CUST00254,345,Spain,Male,38.0,5,2939.65,1.0,0,1,169974.43,0
CUST00255,672,France,Male,31.0,4,201472.85,3.0,1,0,27065.65,0
CUST00256,817,Germany,Male,41.0,7,239361.56,1.0,1,0,108678.74,0
CUST00257,398,Germany,Female,66.0,7,72316.63,2.0,1,1,125646.12,0
CUST00258,336,Spain,Male,,10,27996.39,1.0,1,0,184032.8,0
CUST00259,579,Germany,Female,28.0,3,238388.04,3.0,1,0,107760.01,0
CUST00260,648,Germany,Male,77.0,0,185137.76,2.0,0,0,46865.47,0
CUST00261,796,France,Female,,5,222785.61,2.0,1,0,59527.4,0
CUST00262,601,Germany,Female,78.0,9,90219.04,4.0,0,0,19282.64,0
CUST00263,480,Spain,Female,22.0,0,121015.57,4.0,1,1,52190.9,0
CUST00264,398,France,Male,53.0,4,232559.93,4.0,0,0,164876.64,0
CUST00265,415,Spain,Male,81.0,4,114888.11,2.0,0,1,153806.94,0
CUST00266,490,France,Female,49.0,2,168023.82,4.0,0,1,25569.15,0
CUST00267,552,France,Female,88.0,4,176199.7,2.0,0,1,101123.53,0
CUST00268,460,Germany,Male,91.0,5,209278.46,4.0,0,1,67346.3,0
CUST00269,555,Germany,Female,83.0,4,243794.75,1.0,1,1,133490.27,0
CUST00270,622,Germany,Male,27.0,0,83724.83,4.0,0,1,192654.7,0
CUST00271,427,Spain,Male,38.0,6,61862.71,3.0,0,1,129830.48,0
CUST00272,317,Germany,Female,57.0,2,19426.49,4.0,0,1,151682.91,0
CUST00273,622,Germany,Female,59.0,6,214134.38,2.0,1,1,85644.36,0
CUST00274,587,France,Male,89.0,4,731699.7,3.0,1,0,16210.68,0
CUST00275,454,Germany,Male,63.0,2,12403.2,3.0,1,0,89438.76,1
CUST00276,789,Germany,Male,90.0,10,216317.62,2.0,1,1,107051.16,1
CUST00277,685,Germany,Female,58.0,5,127477.36,3.0,0,1,103609.19,0
CUST00278,403,Germany,Male,21.0,0,209578.3,3.0,1,0,54373.19,0
CUST00279,692,France,Female,31.0,5,138620.49,3.0,1,1,100248.61,0
CUST00280,545,Germany,Female,31.0,3,78432.44,4.0,1,1,146418.64,0
CUST00281,475,France,Male,70.0,3,32445.4,3.0,0,0,69180.54,0
CUST00282,338,Spain,Female,,4,109290.38,,1,1,130460.51,0
CUST00283,776,Germany,Female,40.0,8,6637.26,1.0,0,0,39114.48,0
CUST00284,837,Germany,Female,48.0,0,150614.86,4.0,1,1,62828.77,0
CUST00285,707,Germany,Female,88.0,2,106916.16,4.0,0,1,177946.3,0
CUST00286,824,France,Male,78.0,10,35380.91,1.0,1,1,129058.25,0
CUST00287,805,Germany,Male,40.0,3,132558.62,3.0,0,1,26309.51,0
CUST00288,335,Germany,Female,,1,200227.67,1.0,0,1,60281.0,0
CUST00289,319,Spain,Female,33.0,8,243700.07,2.0,0,0,198852.63,0
CUST00290,620,France,Female,43.0,10,131839.62,3.0,1,1,61319.92,0
CUST00291,811,France,Female,46.0,6,32387.74,1.0,0,1,120296.7,0
CUST00292,699,Spain,Female,23.0,0,202676.55,1.0,1,0,114565.99,0
CUST00293,770,France,Male,54.0,8,173947.15,3.0,1,1,86449.08,0
CUST00294,442,Germany,Male,50.0,5,238492.81,3.0,0,1,16417.78,1
CUST00295,391,Germany,Male,63.0,1,133803.25,3.0,0,1,64024.02,0
CUST00296,653,Spain,Male,78.0,0,89275.98,4.0,1,0,191136.36,0
CUST00297,350,France,Female,58.0,5,240710.03,2.0,1,0,13646.28,0
CUST00298,489,France,Female,35.0,6,134611.15,4.0,0,1,145979.87,0
CUST00299,424,France,Male,33.0,9,3976.42,1.0,1,1,179622.43,0
CUST00300,449,Spain,Male,68.0,5,118417.25,2.0,0,0,154853.46,1
CUST00301,613,Germany,Male,54.0,6,594.51,4.0,0,1,71417.42,0
CUST00302,641,Spain,Female,31.0,5,184426.95,,1,0,108888.9,0
CUST00303,604,Germany,Female,85.0,7,141486.28,3.0,1,1,174834.03,0
CUST00304,353,Spain,Female,47.0,1,27450.28,1.0,1,0,195336.97,0
CUST00305,743,Germany,Male,77.0,8,203252.83,3.0,0,0,28435.52,0
CUST00306,563,France,Male,,8,134109.31,4.0,1,1,33626.46,0
CUST00307,352,France,Female,53.0,10,28515.09,1.0,0,0,191604.01,0
CUST00308,304,France,Female,,8,40002.72,2.0,0,1,175798.64,0
CUST00309,402,Spain,Female,,6,205525.96,1.0,0,0,50104.29,0
CUST00310,495,Spain,Male,31.0,8,88871.72,3.0,1,1,194319.77,0
CUST00311,649,Spain,Female,40.0,0,205274.02,4.0,1,0,49710.39,0
CUST00312,346,France,Female,65.0,2,17375.84,2.0,1,1,26817.9,0
CUST00313,568,Germany,Male,45.0,1,60964.77,2.0,0,0,139558.28,0
CUST00314,669,France,Female,24.0,10,191145.65,4.0,1,0,112561.24,0
CUST00315,405,France,Female,59.0,0,160425.53,4.0,0,1,55536.36,1
CUST00316,419,Germany,Female,27.0,4,76706.13,1.0,1,1,186372.79,0
CUST00317,357,Germany,Female,85.0,0,234006.61,1.0,1,0,86805.58,0
CUST00318,645,Germany,Male,,2,52766.56,2.0,0,0,86552.25,0
CUST00319,773,Germany,Female,30.0,5,212444.89,1.0,0,1,130046.91,0
CUST00320,416,France,Male,50.0,5,173935.97,3.0,0,0,53851.06,0
CUST00321,426,Spain,Female,49.0,2,30279.27,3.0,1,1,121501.03,0
CUST00322,692,France,Male,65.0,3,138778.91,1.0,0,1,79157.18,0
CUST00323,357,Germany,Female,22.0,6,232476.9,,1,1,142051.68,0
CUST00324,812,Spain,Female,78.0,5,154724.01,1.0,1,1,57064.42,0
CUST00325,395,Spain,Male,,10,132201.85,4.0,1,1,45237.77,0
CUST00326,417,France,Female,41.0,1,91580.8,4.0,1,1,57464.62,0
CUST00327,787,France,Female,51.0,8,197197.04,2.0,0,0,187827.62,0
CUST00328,536,France,Male,59.0,5,228264.8,2.0,1,1,171353.5,0
CUST00329,571,Spain,Female,37.0,1,188329.2,,0,0,167490.69,0
CUST00330,488,Spain,Female,58.0,6,181312.34,4.0,1,1,158331.99,0
CUST00331,746,Spain,Female,37.0,10,48122.59,,0,1,131020.64,0
CUST00332,546,Germany,Female,23.0,10,208496.59,,1,0,28695.85,0
CUST00333,375,Germany,Female,74.0,9,10173.96,2.0,1,1,71683.86,0
CUST00334,453,France,Male,59.0,9,189340.37,4.0,1,1,116755.06,0
CUST00335,734,Spain,Male,42.0,3,52717.51,2.0,0,1,30092.45,0
CUST00336,385,France,Female,,0,121815.32,4.0,1,1,15722.11,0
CUST00337,584,Spain,Female,,9,173808.49,2.0,0,0,27751.42,0
CUST00338,519,France,Male,20.0,8,189769.6,2.0,0,0,30533.23,0
CUST00339,368,Germany,Male,60.0,10,222020.99,3.0,0,0,30812.29,0
CUST00340,346,Spain,Male,63.0,9,70648.04,3.0,0,0,46132.72,0
CUST00341,393,Germany,Male,74.0,7,56080.06,3.0,0,0,104828.36,0
CUST00342,752,Spain,Male,91.0,4,249061.55,3.0,1,1,64235.62,0
CUST00343,503,France,Male,68.0,2,51889.54,3.0,1,1,173425.18,0
CUST00344,517,Spain,Female,22.0,3,166370.19,4.0,0,1,176466.33,0
CUST00345,773,Germany,Female,90.0,2,238186.17,1.0,1,0,184847.45,0
CUST00346,731,Spain,Female,32.0,9,224139.0,4.0,1,0,99520.24,0
CUST00347,640,France,Female,56.0,7,110815.86,1.0,0,0,157067.94,0
